exam,subject,chapter,topic,question_type,question,option_a,option_b,option_c,option_d,correct_answer,solution,difficulty,marks,negative_marks,time_seconds,language,year,exam_session,source,tags,status
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 4, 6, 8, 10, ?",7,14,12,2,C,Common difference is +2. Next term is 10+2=12.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 5, 8, 11, 14, ?",7,15,19,17,D,Common difference is +3. Next term is 14+3=17.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 6, 10, 14, 18, ?",24,27,22,32,C,Common difference is +4. Next term is 18+4=22.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 7, 12, 17, 22, ?",26,22,27,28,C,Common difference is +5. Next term is 22+5=27.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 8, 14, 20, 26, ?",32,33,30,22,A,Common difference is +6. Next term is 26+6=32.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 9, 16, 23, 30, ?",36,37,35,42,B,Common difference is +7. Next term is 30+7=37.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 10, 18, 26, 34, ?",42,32,37,41,A,Common difference is +8. Next term is 34+8=42.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 11, 20, 29, 38, ?",49,46,37,47,D,Common difference is +9. Next term is 38+9=47.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 12, 22, 32, 42, ?",53,52,54,57,B,Common difference is +10. Next term is 42+10=52.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 13, 24, 35, 46, ?",67,57,58,47,B,Common difference is +11. Next term is 46+11=57.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 14, 26, 38, 50, ?",62,61,52,64,A,Common difference is +12. Next term is 50+12=62.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 15, 28, 41, 54, ?",68,77,67,66,C,Common difference is +13. Next term is 54+13=67.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 16, 30, 44, 58, ?",77,72,74,70,B,Common difference is +14. Next term is 58+14=72.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 17, 32, 47, 62, ?",75,77,82,76,B,Common difference is +15. Next term is 62+15=77.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 18, 34, 50, 66, ?",87,72,82,84,C,Common difference is +16. Next term is 66+16=82.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 19, 36, 53, 70, ?",87,97,82,89,A,Common difference is +17. Next term is 70+17=87.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 20, 38, 56, 74, ?",92,87,91,94,A,Common difference is +18. Next term is 74+18=92.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 21, 40, 59, 78, ?",97,98,95,99,A,Common difference is +19. Next term is 78+19=97.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 22, 42, 62, 82, ?",112,103,102,104,C,Common difference is +20. Next term is 82+20=102.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 23, 44, 65, 86, ?",117,97,112,107,D,Common difference is +21. Next term is 86+21=107.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
